	micha-ii-48	lancellotto-ii-48	lanzarote-ii-48
32|33	si ne set que fere, |que retorner ne voldroit il mie. 	si non sa che fare, |ché ritornare non vorebbe elli mica. 	ca el no se queria tomar en ninguna manera 
34	Atant voit issir del chastel une damoisele 	?Atanto vide uscire una damigella del castello 	Ansi estando vio del castillo 
35	qui ert tote nue en sa chemise, 	ch’era tutta ignuda in sua camicia solamente, 	salir vna donçella en camisa 
36	si le menoient troi vilain molt vilainement a 	si-lla menavano iiii. rubaldi molto villanamente 	que traian quatro rribaldos muy sañudamente 
37	et tenoit chescuns une hache en sa main; 	e tenieno ciascuno una acciaia in sua mano. 	e cadavno traia enla mano vna lança 
38	et ele crioit 	Ed ella grida 	e ella daua vozes 
39	quanque ele pooit crier 	quanto |ch’ella può gridare 	quanto podia dar 
40	por els qui li faisoient tel honte et tel laidure 	per coloro |che-lle facieno cotale onta e tal ladiura, 	e ellos la lleuaron muy desonrrada mente 
41	qu’il la venoient batant tot contreval la riviere. 	ch’elli la menavano |battendo tutto contravalle la riviera. 	contra la rribera |porla yr ha echar 
42	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	E quando la damigella vide lo cavaliere dall’altra parte dell’acqua, 	e quando la donçella vio a bores |dela otra parte del agua 
43	si commence a crier: « 	si gli comincia a gridare: 	començo a dar vozes 
44|45	Ha, gentilz chevaliers, |secorés ceste damoisele 	Hal, gentile huomo, |soccorete questa damigella 	e a deçir ay jentil cauallero acorred a esta donçella 
46	que cist ribaut vuelent ocirre. 	che questi rubaldi vogliono uccidere! 	que estos Ribaldos me quieren |ansi matar ay buen cauallero 
47|48	Ha, frans hom, |ne m’i laissiés morir, 	Hal, franco cavaliere, non mi lasciate uccidere, 	si nunca oviste piedad de donçella |auelda agora de mi |e no me dexedes asi morir
49|50	se vos onques eustes pitié de nule gentil damoisele !» |Quant Boors ot ce 	se voi unque aveste piatà |di nulla gentile damigella». |“Quando Boordo ode colei 	Quando boores oyo 
51|52	qu’ele li prie si pitousement |qu'il la secore, 	che l priega si piatosamente |che-lla soccorra, 	lo que la donçella deçia 
53	si ne set que fere, 	si non sa che fare, 	no supo que façer 
54|55	kar volentiers li aidast |s’il peust; 	ché volentieri l’andasse ad atare se potesse, 	ca muy de grado la quisiera acorrer |si pudiese 
56|57	mais il voit l’eve noire |et parfonde et si perilluse 	ma e vede l’acqua nera e profonda e perigliosa 	Mas el agua hera muy fonda e peligrosa e negra 
58	qu’il cuide bien noier, 	che crede bene morire 	e bien cuidaua morir 
59	s’il se met dedens; 	s’elli si mette di dentro; 	si se y Metiese 
60	et d'autre part il voit cele 	e d’altra parte |e vede colei 	e dela otra parte veya la donçella 
61	qui si durement crie merci; 	che si duramente gli grida mercé, 	que muy afincada mente le pedia merçed 
62	si l'em prent tels pitiés 	si ne gli prende tale piatà 	e ovo tal piedad della 
63	qu’il en laisse totes poors 	che ne lascia tutte paure 	que le fiço todo el miedo perder 
64	et fet le signe de la crois en mi son vis, 	e si fa el segno della santa croce |nel miluogo del suo viso, 	e fiço la señal dela cruz sobre si 
65	puis enbrace l’escu 	poscia imbraccia lo scudo 	e enbraço el escudo 
66	et broche le cheval des esperons 	e broca il cavallo degli sproni, 	e firio al cauallo de las espuelas 
67	et se fiert en l’eve. 	si fiede nell’acqua isnellamente. 	e lanço se en el agua 
68|69	Et li chevals fu fors, |si commence a noer 	El cavallo fu forte, |incominciò a notare 	e el cauallo començo de nadar luego 
70	si tost com il ot terre perdue, 	si tosto com'elli ebbe terra perduta, 	e perdio tierra
71	si l’enporte d’autre part de la rive a quelque paine, 	si ne l portò d’altra parte della riva a qualche pena, 	en tal manera que paso dela otra parte del agua 
72	mais ançois ot beu de l’eve li uns et li autre, 	'ma inanzi furono amenduni tutti molli, 	mas ante beuio el cauallo del agua 
73	et se li chevals ne fust si buens, 	e se l cavallo non fosse stato si forte, 	e si el caballo tan bueno |no fuera sin dubda 
74	noié fuissent ambedui, 	anegati fossono amenduni, 	el moriera enel agua 
75	kar li chevaliers estoit pesans por les armes 	ché l cavaliere era pesante per l’arme 	e boores porel peso delas armas 
76	qu’il avoit vestues. 	ch’elli avea vestite. 	que llebaua 
77	Quant il fu de l’autre part de l’eve, 	Quand’e fu da l’altra parte dell’acqua, 	e desque fue dela otra Parte del agua 
78|79	si ne descendi pas, |ains cort vers cels 	si non discende passo, |anzi muove il cavallo inverso di coloro 	dexo se correr 
80	qui la damoisele tenoient et fiert si le premier 	che lla T tenieno |e fiede si il primaio 	aquellos que la donçella tenian |e firio al primero 
81|82	qu’il aconsieut |qu’il li met le glaive par mi le cors, 	ch’elli agiugne |che gli mette la lancia per me' il corpo, 	que encontro en tal manera que le metio la lança porel cuerpo 
83	si l’abat a terre, 	si-llo abatte a terra, 	e los otros dos |que aquello vieron 
84	et li autre s’enfuient erraument 	e gli altri |se ne fugono tosto 	fuyeron luego 
85	por ce que desarmé estoient. 	per ciò che disarmati erano. 	por miedo de no ser muertos 
86	Et la damoisele 	E la damigella, 	ca todos estauan desarmados 
87|88|89|90|91|92	qui delivree se voit |se met a genols devant Boort |et dist: « |Ha, |gentils chevaliers, |de Dieu soiés vos beneois, 	che si vide dilivera, |si mette a ginocchia davanti Boordo: |Hal, gentile cavaliere, diss’ella, |da Dio siate vo' benedetto 	e la donçella desque aquello vido finco los ynojos ante boores |e dixo |ay jentil cauallero vendito seades de dios 
93	quant vos m’avés de mort rescosse, 	quando vo m’avete di morte riscossa, 	que asi me librastes de muerte 
94	et aorés en soit Diex, 	e adorato ne sia lddio 	e bendito sea dios 
95	quant il ceste part vos amena, 	quand’elli in queste parti vo menò, 	que aqui vos traxo 
96	kar cist gloton m’euissent ja morte. — 	ché questi guiglioni m’avessono già morta, |se vo' non foste. — 	que estos villanos me hubieran muerto |si por vos no fuera 
97|98	Damoisele, |fet il, 	Damigella, |disse Boordo, 	donçella dixo boores 
99|100	por quoi ? — |Sire 	perché? 	Por que señor dixo ella 
101|102	fet ele, |jel vos dirai bien, 	-Il vo dirò, diss’ella, bene, 	yo vos lo dire 
103	mais que vos m’aiés mise a sauveté. — 	ma' che vo' m’abiate messa a salvamento. — 	mas ante conuiene |que non aya miedo de ninguno 
104|105	Coment ? |fet il. 	Come, |disse elli, 	Donzella dixo boores 
106	Avés vos dont garde ? — 	avete vo' dunque guardia? - 	de quien auedes miedo 
107|108	Certes, |fet ele, 	Certo, sire, diss'ella, 	señor dixo ella 
109|110	ja asseur ne seraî fant |com je sache laiens le seignor del chastel, 	già sicura non sarò |tanto com’io sappia là entro il signore del castello, 	del señor del castillo 
111	kar c’est li plus fel chevaliers del monde et li plus traîtres. » 	ché ciò è il più fiero cavaliere del mondo |e I più traditore». 	ca es el mas follon omne |de todo el mundo e mas cruel 
112	A ces paroles voient issir I. chevalier del chastel 	A queste parole vidono uscire un cavaliere del castello, 	Ellos asi fablando |vieron salir del castillo vn caballero 
113	et la ou il vit Boort, 	e là ov’egli vide Boordo 	e quando vido a boores 
114	si li escrie : « 	si-llo isgrida: 	començo le a dar boçes 
115	Laissiés, dans chevaliers, la damoisele 	«Danzi cavaliere, |lasciate la damigella, 	e a deçir don cauallero |a dexar vos conuiene la donzella 
116	que vos n’enmenrois mie! 	ché vonon la menere mica, 	ca la non lleuaredes 
117|118|119	Par mon chief, |mar le rescosistes!» |Si li cort 	e per mio capo male la riscoteste!». |Si gli corre suso 	e porla my cabeza |ental Punto la acorristes 
120	quanqu’il puet le glaive alongié; 	quanto ch’elli puote, |la lancia islungata, 	e luego se dexaron correr el vno contra el otro 
121	et Boors retrait son glaîve a lui del cors a celui 	e Boordo il fiede si duramente in suo venire |che llo scudo né llo asbergo no-llo guerentisce 	e boores lo firio conla lança |que auia sacado del cuerpo del villano 
		che non gli metta per me' il corpo e ferro e fusto, 	
122	qu’il avoit ocis; 	e que' cade a terra tutto isteso |che più nonn-à mestier di medico. 	que auia muerto 
		E quando que del castello vidono insi lor cavaliere abatuto, 	
		si ve ne rimandarono immantanente uno altro per quello vendicare, 	
		che disse a Boordo 	
		che ssi guardi da- llui, 	
		ch’elli il disfida, 	
		ed e' dice 	
		che disfida lui. 	
		PAllora trae la lancia del corpo a colui 	
		ch’elli avea morto, 	
123	si laisse le cheval corre 	si lascia il cavallo andare 	en tal manera que dio conel 
124|125	et le fiert si tres durement |qu’il l’abat a terre si estordi 	e l fiede si duramente |ch’elli |Il’labatte a terra si stordito 	Porlas ancas del cauallo a tierra asi estordido 
126	qu’il n’a pooir de relever, 	che non à podere di sé rilevare, 	que non se pudo leuantar 
127|128	ains gist pasmés, |kar il chai si felenessement 	anzi giace ispasimato, |ché fu caduto si fellonosamente 	asi estaua amorteçido dela cayda 
129	qu’a poi que la canole del col n'avoit brisee. 	che a poco che non si ruppe il collo, 	que las coyunturas del pescuezo tenia quebradas 
130	Et Boors li vet a cheval par desus le cors 	e Boordo gli va cavalcando per di suso il corpo 	e boores traxo tantas vezes el cauallo sobre el 
131	tant que tot le debrise. 	tanto che di tutto il dibriscia. 	Que todo lo quebranto 
132	Et lors est la damoisele si liee 	Allora est la damigella si lieta 	e la donçella |que aquello vido fue muy alegre 
133	qu’ele ne puet plus 	ch’ella non può più, 	que mas no lo podia ser 
134	et dist a Boort : « 	e disse a Boordo: 	e dixo a boores 
135|136	Sire, |nos n’avons mes garde, 	Sire, non no abiamo oggimai guardia, 	señor agora non auedes aqui 
137	kar je ne cuit 	ch’io non credo mica 	deque vos mas guardar |ca eneste castillo no auia 
138|139	qu’il eust plus de chevaliers çaiens |que cestui; 	ch’egli abbia là entro più cavalieri che questi, 	mas deste cauallero segund cuydo 
140|141	si vos dirai ore seurement |ce que vos me demandastes n’a encor gaires. — 	si vi dirò ora sicuramente ciò che voi mi domandaste. — 	e agora os direlo |que me preguntastes seguramente 
142|143	Dites, |fet il. — 	Dite, diss’elli. — 	Pues deçidmelo dixo boores 
144|145	Sire, |fet ele, 	laPer fé, diss’ella, 	asi es dixo la donçella 
146	entre moi et I. chevalier 	intra me e uno cavaliere 	que oy mañana entre mi |e vn cauallero 
147	qui mes amis estoit chevalchions hui matin par mi cest chastel 	che mio amico era cavalcamo oggi mattinetto per me questo ricetto, 	que hera mi amigo pasamos poreste castillo 
148	et quant li freres a celui 	e quando il fratello di colui 	e quando el señor del castillo 
149	que vos avés abatu me vit, 	che voi avete ora abatuto mi vide, 	hermano de aquel que vos derribastes 
150|151	si me volt a force prendre, |kar il m’avoit molt longuement amee; 	si mi volle a forza prendere, |ché m’avea lungamente amato; 	me vido quisome prender afuerça e trabo del freno demi palafren 
152|153	si me prist al frain |et m’en volt mener a force, 	simmi prese al freno |e mi volle menare a forza, 	e quisome llebar 
154	mes mes amis se combati a lui 	ma mio amico si combatté tanto a-llui 	e me vido mi amigo llebar 
155	tant qu’il l’ocist. 	che-ll’ucise. 	conbatiose conel tanto quelo mato 
156|157	Et quant cist |que vos veez ci ore vit son frere mort, 	ME quando questo che voi avete qui ora abatuto |vide suo fratello morto, 	e quando aquel que alli esta vido asu ermano muerto 
158	si fist mon ami prendre a force de vilains et de gens 	si fece mio amico prendere a forza di villani e di genti, 	fiço prender ami amigo |a fuerça de gente e de villanos 
159	et l’ocist en venjance de son frere. 	e l’uccise in vendicanza di suo fratello. 	e matolo en enmienda dela muerte desu hermano 
160	Mais de moi, 	Ma di me, 	e dixo 
161	por cui Ses freres avoit esté ocis, 	per cui suo fratello avea stato morto, 	que demi se vengaria el seguramente 
162	dist il 	diss’elli 	porque fui ocasion dela muerte de su hermano 
163	qu’il se vengeroit sans main metre; si me fist prendre a ces ribaus 	che-ssi vendicherebbe sanza in me mettere mano, |si mi fece prendere a nfino a tre l rubaldi 	entonçe fiço tomar aquellos quatro villanos 
164	que vos veistes 	che vo' vedeste 	que vos vistes 
165|166	et lor commanda |qu’il me noiaissent, « 	e loro comandò |che m’anegassono, 	e mandoles que me matasen en aquel agua 
167	kar par armes, 	ché per mano di persona, 	
168|169	dist il, |ne vueil je mie 	diss’elli, |non voglio 	ca por armas no me queria matar 
170|171	qu’ele muire » ; |si m'enmenoient, 	ch’ella muoia». |i-mmi menavano, 	e ellos me mataran sin falta 
172	si com vos veistes, morir 	insi come vo vedeste, |per fare morire, 	si vos porla voluntad de dios 
173	quant vos me venistes secorre par la volenté de Dieu et par la vostre. 	quando vo mi veniste a soccorrere |per la volontà di Dio e della vostra. 	e porla vuestra no me acorrierades 
174	Or vos ai conté mon errement ; 	Or vo ho contato tutta mia ventura, 	agora vos e contado todo mi acaesçimiento 
175	si voldroie des Ore mes, 	si vo vorre' da oggimai, 	como me contesçio |e querria 
176|177	se vostre plaisirs estoit, |que vos me menissois a salveté en un mien chastel 	se vostro piacere fosse, pregare |che vo' mi conduceste a salvamento in uno mio castello 	que me llebasedes a vn mi castillo 
178	qui est ci pres. — 	ch’è qui presso. — 	que es çerca de aqui 
179	Volentiers », 	Volentier. 	si vos plaze de GraDo dixo boores |e luego echo su escudo alas espaldas 
180|181	fet il. |Si le prent par les bras 	disse elli». |Si-lla prende per lo braccio 	e tomola Porel braço 
182	et le monte par devant lui sor le col de son cheval, 	e la monta davanti a sé |sopra il corpo di suo cavallo, 	e pusola antesi Ensu caballo 
183|184	si a geté son escu derieres son dos, |si s’en vet cele part 	si getta suo scudo di dietro suo dosso, |si se ne va in quelle parti 	e fuese ansi conella 
185|186	ou la damoisele li enseigne |tant que ce vint aprés midi 	ove la damigella gli 'nsegna, |tanto che ciò venne apresso di mezodi 	por do ella lo yria guiando fasta medio dia 
187	qu’il voient en un tertre I. bel a chastel, 	che vegono davanti loro, in uno poggio, uno castello molto bello. 	Que vieron vn muy fermoso castillo 
188	et lors ataignent Il. escuiers 	Allora agiungono due scudieri 	e alcançaron dos escuderos 
189	qui issoient d’un bossel 	che uscivano d’uno boschello 	ala salida devn monteçillo 
190	et aportoit chescuns venoisons trosee detriers soi. 	e aportavano amenduni cacciagione torsata di dietro a llui. 	que traia cada vno vn corço atroxado trassi 
191|192	Quant il virent la damoisele, |si descendent a pié 	E quand’e' vidono la damigella, |si discenderono immantanente a ppiè 	e desque vieron la donçella desçendieron apie 
193	et li font grant joie com a celi 	e gli fanno grande gioia come a colei 	e fueron e fezieron gran alegria conella 
194	qui lor dame estoit 	che loro dama era, 	como aquella que hera su señora 
195	mais molt se merveillent 	ma molto si maravigliarono 	mas mucho se marauillaron 
196	de ce qu’il la virent plorer: 	di ciò che lla vidono impiagnendo. 	porque la vian ansi venir
197|198	si li enquierent |que ele a. 	Si-lla inchiesono |ch’ell’avea, 	e preguntaronla que auia 
199	Et ele lor dit 	ed ella lor disse 	e ella les conto 
200	comment ses amis avoit esté ocis, « 	come suo amico era stato ucciso, 	como su amigo hera muerto 
201	et je meismes euisse esté morte. 	«ed io medesima, diss’ella, |fosse stata morta, 	e dixo yo mesma fuera muerta 
202	se ne fust cis frans chevaliers 	se non fosse questo franco cavaliere 	sino fuera por aqueste buen cauallero 
203	qui par sa debonaireté me resqueust 	che per sua dibonarità mi riscosse, 	que me libro 
204|205	et se mist em peril de mort |por ma vie sauver. » 	si si misse in periglio di morte per mia vita salvare». 	e se metio en peligro de muerte |Por me librar 
206	Et lors conseille a l’un de ses escuierset 	Allor si consiglia con l’uno, 	e luego destroçaron el vn corço |e pusieronlo enel Palafren 
207	cil se destrosse maintenant de sa venoison, 	e quelli iscioglie immantanente sua cacciagione 	e ymbiaronlo al castillo conel vn escudero 
208	si la baille a son compaignon por porter, 	e la dona a suo compagnone per portarnela, 	e pusieron ala donçella enel otro 
209|210	si s’en vet vers le chastel |quanqu’il puet traire del roncin. 	si se ne va inverso il castello |quanto che può trarre del ronzino. 	e fueronse contrael castillo quanto podian 
211	Et Boors demande a la damoisele 	eE Boordo domanda alla damigella 	e boores pregunto ala donçella 
212	comment li chastials a non ou ses amis a esté ocis. « 	come il castello à nome |ove suo amico avea stato morto. 	como auia nombre el castillo 
213	Sire, 	«Sire, 	Do su amigo auian muerto 
214|215	fet ele, |il a non Galedon 	disse ella, |egli à nome Badelon, 	señor dixo ella el a nombre Galdon 
216	et l’eve par ou vos passastes a non Galede. » 	e l’acqua per dove passaste Galede». 	e el agua |que pasastes galide 
217|218	Ensi parolent |tant qu’il sont venu jusqu’al chastel, 	aln parlando vanno tanto |che sono venuti insino qua al castello, 	Asi fueron fablando fasta el castillo 
219	si le voit Boors bien seant et fort. 	si 'l vide Boordo molto forte e molto ben sedente. 	Que hera muy fuerte e muy bien asentado 
220	Et quant il montent ! le tertre, 	E quand’e' mosntavano il poggio, 	e desque fueron entrados enel castillo 
221	si voient de laiens issir dames et damoiseles a grant plenté 	si ne vidono uscire dame e damigelle a gran quantità, 	luego vinieron contraellos muchas danças e corros |de Dueñas e de donçellas 
222	dont les unes karolent et les autres dancent 	donde l’une ballavano 	e otros dançaban e bailauan 
223	et les autres joent de divers geus; 	e l’altre giucavano di diversi giuochi, 	e otros jugauan e façian juegos de muchas maneras 
224	si estoient acesmees et vestues richement 	si erano tutte acconce e vestite riccamente; 	e todos andauan vestidos muy Ricamente |entonçe vinieron contraellos 
225|226	et avec venoient chevaliers jusqu’a X. |qui molt faisoient grant joie; 	Se con esso loro venieno cavalieri insino a cinque |che molto feciono gran gioia 	mas de diez caualleros faziendo muy gran [...] 
227|228	et quant il voient Boort, |si crient tuit encontre lui: « 	quand'e' vidono Boordo. |vengono tutti incontro a-llui |e gli dicono: 	e deçian todos avna voz 
229|230	Bien viengniés, |sire, 	Ben vegniate, sire, 	vien venga el mejor cauallero 
231	qui nostre dame avez delivres de mort 	che nostra dama avete dilivera di morte 	que anuestra señora libro de muerte 
232	et rescosse des mains a ses enemis !» 	e riscossa delle mani di suoi animicib. 	e libro anos denuestros enemigos 
233|234|235	Et lors font descendre lor dame |et lui avec : |si ne vos porroit nus conter la joie 	VAllora fanno discendere lor dama e lui apresso, |si non potrebbe mica l’uom contare la trasgran gioia 	entonçe los desçendieron |a muy gran gozo e alegria 
236|237	qui li fu fete. |A tel joie et a tel feste enmainent Boort jusqu’al palés del chastel, 	che gli fu fatta. |In tal gioia e in tale festa ne menarono Boordo |insin qua il mastro palagio del castello, 	façiendo con boores 
238|239	si le font desarmer, |ou il volsist ou non, 	si l fanno disarmare o volesse O non, 	asi que el se marauillaua ende mucho 
240|241	et il le fist a envis, |kar il n’estoit encore mie tens de herbergier. 	ed elli il fece ad invidia, |ché nonn-era mica ancor tempo d’albergare. 	e las
242|243	Ensi remist Boors laiens, |si li firent grant joie li un et li autre 	Insi rimase Boordo là entro, |si gli feciono molto gran gioia |e l’uno e l’altro. 	Mesas fueron puestas 
244|245	Et quant il orent mengié. |a damoisele demande a Boort 	eE quand’egli ebono mangiato a gran festa, |la damigella domandò Boordo 	e asentaronse a comer 
246	comment il avoit non ét 	com'egli avea nome, 	ca mucho lo auian menester 
247|248	¡l dist |qu’il avoit non Boors li Essilliés. « 	ed e' le risponde |ch’egli à nome Boordo il Diseritato. 	e desque ovieron comido la donçella le pregunto 
249|250	Et vos, |fet il. damoisele, 	E vo', diss’elli alla damigella, 	e dixo le |señor si vos pluguiere querria saber vuestro nombre |porque sepa dezir 
251	quels est li vostre nons ? — 	com’è vostro nome? — 	quien me fiço tanto bien |donçella dixo boores 
252	Sire, 	Sire, 	yo he nombre boores el deseredado |e vos donzella dixo el 
253	fet ele. 	diss’ella, 	como auedes nombre |señor dixo la donçella 
254	je ai non Blevine de Glocedun, 	i' ò nome Blivina di Glocedin, 	yo he nombre velniña de glaçendo 
255	issi a non cist chastials ou nos somes. » 	e nsì à nome questo castello |ove noi siamo». 	que asi a nombre el castillo |enque estamos 
256|257	A ces paroles |qu’il disoient, 	A queste parole |ch’elli dicieno, 	Ellos ansi fablando 
258|259	es vos I escuier |qui laiens entre, 	ed e' vidono venire uno scudieri |che là entro venia, 	llego vn escudero porla puerta 
260|261	si s’agenoille devant la damoisele. « |Dame, 	si s’aginocchia davanti la damigella: |«Dama, 	e finco los ynojos ante la donçella 
262	fet il, 	diss elli, 	e dixole 
263	la damoisele de Honguefort vostre cosine vos salue 	mia dama la damigella di Unguelforte, vostra cugina, 	señora la donçella de hongeforte |vos ymbia a saludar
264	et vos mande 	vo saluta e vo manda 	e ymbiavos deçir 
265	qu’ele vient herbergier o vos. » 	ch’ella viene ad albergare con esso voi». 	que esta noche ven conbusco albergar 
266|267	Et quant cele l’entent, |si saut sus si liee et si joiose 	E quando quella lo ntende, |si salta suso si lieta e si gioliolsa 	e quando la donçella esto oyo fue muy alegre 
268	que nule plus 	che nulla più, 	
269|270	et demande al vaslet |ou ele est. « 	e domanda al valletto |ov'ella est. 	e pregunto al escudero do era señora 
271|272	Dame. |fet il, 	«Dama, |diss’elli, 	dixo el escudero 
273	a mains de demie lieue pres de ci. » 	ella est a meza lega presso di qui». 	yo la dexe a media legua de aqui 
274|275	Et ele fet maintenant sa sele metre |et dist 	Ed ella fa immantanente sua sella mettere |e disse 	e la donçella mando luego ensillar 
276|277	qu’ele ira encontre li; |si monte et maine o li. VI. chevaliers 	ch’ella andrà incontro a llei, |si monta e mena con lei v. cavalieri, |e quatro cavalieri d’agio 	e fuese con seis caualleros ala rreçebir 
278	et Illl. en laisse por fere compaignie a Boort ; 	lascia in compagnia di Boordo, 	e dexo a boores con quatro caualleros |porle fazer conpaña 
279|280|281	si se part atant de laiens. |Mes Boors |qui les noveles a of̈es de cele de Honguefort 	si si parte atanto di là entro. |Ma Boordo, che lle novelle àe avute di quella d’Unguelforte, 	e quando boores sopo |quela donçella de ongeforte venia 
282|283	si ne set que fere, |kar se il remaint laiens, 	non sa che fare, |ché se rimane là entro 	no sabia que façer 
284|285	ne puet estre |que l’en nel conoisse 	e' non può essere |ch’ella non lo cognosca: 	ca no queria aquelo conoçiese 
286|287	et ce ne voldroit il por rien: |si pense longuement a ceste chose. 	ciò non vorebbe elli per nulla cosa, |si pensa lungamente a questa cosa. 	si pudiese ser 
288|289	Quant il ot une piece pensé, |si se drece en estant 	eQuand’egli à gran peza pensato, |si si diriza in istanti 	e penso asi enesto mucho 
290	et demande ses armes tost et isnel. « 	e domanda sue armi tosto e snello. 	e a cabo de Pieça demando sus armas 
291	Sire, font cil 	VaSire, dissono coloro 	señor dixeron los caualleros 
292	qui avec lui estoient, 	che con esso lui erano, 	que conel estauan
293	qu’en volés vos fere ? — 	che volete voi fare? — 	que para que las queria 
294	Je me vueil. 	l' mi voglio, 	yo me Quiero armar 
295	fet il, 	diss’elli, 	dixo boores 
296	un poi aler esbatre jusqu’a cel boschel, 	andare a sbattere un poco in quello boschetto, 	Porme yr a solazar a aquel montezillo 
297	si revendrai orendroit. » 	si ritornerò oraindiritto». 	e luego me tornare 
298|299	Cil n’osent son commandement refuser. |si aportent ses armes 	E que' non osano suo comandamento rifiutare, |sì gli portano sue armi 	e ellos no osaron su voluntad contradeçir 
300	et il les prent. 	ed e' le prende; 	e truxeronselas 
301|302	Et quant il est armés, |si monte en son cheval a, 	e quand’egli è armato, |e' monta in suo cavallo, 	e el se armo 
303	si se part de laiens par une posterne par devers le boschel », 	si si parte di là entro per la postierna diverso il boschello, 	e desque fue armado salio porvn postigo |que estaua contrael monteçillo 
304|305	ne ne velt |que nus li face compaignie. 	né non vuole |che nullo gli faccia compagnia. 	e no quiso que fuese conel ninguno 
306	Et quant il est l. poi eslongiés del chastel, 	quand’egli è un poco islungato del castello, 	e desque fue vn poco alongado 
307	si torne a destre vers une forest 	si torna a destra partita per diverso una foresta 	Metiose porvna floresta 
308	qu’il voit haute et espesse 	ch’elli vide alta e spessa, 	que vido muy espesa 
309|310|311|312	et s’en vet al ferir des esperons; |si se fiert en la forest |et eirre |tant qu’il li anuite ; 	si vi si mette al fedire delli sproni |e si fiede nello spesso della foresta |e va tanto ch’elli anottò. 	quanto el cauallo lo pudo lleuar |e el ansi yendo 
313|314	et lors escote, |si ot une cloche soner 	AIlora ascolta, |sì ode una campana sonare 	oyo vna canpana tañer 
315|316	et il sot bien tantost |que c’estoit hermitages: 	ed e'sa ben tantosto |che ciò è romitaggio: 	e luego cuido quela tañian en alguna hermita 
317	si s’en torne cele part 	si ritorna in quelle parti 	e el fue alla 
318|319|320	et descent a l’uis, |si apele et li hermites li oevre son huis, |si a le reçoit a bele chiere 	e discende a l’uscio, |si chiama e l romito gli apre l’uscelletto, si-llo riceve a bella cera 	e desque llego ala hermita llamo fastaque el hermitaño le vino a abrir |e acogiolo |porque vido que hera cauallero andante 
321	et le desarme il meismes, 	e l disarmò elli medesimo; 	e el mesmo lo ayudo a desarmar 
